Id;ParentId;case_id;parent_case_id;Id_parent;Symptom__c;Incident_Reason__c;symptom_name;incident_reason_name;macro_symptom
5003X0000263y8BQAQ;;5003X0000263y8BQAQ;;;;;;;outro
5003X0000264BB7QAM;;5003X0000264BB7QAM;;;;;;;outro
5003X0000264PyIQAU;;5003X0000264PyIQAU;;;;;;;outro
5003X0000264R0gQAE;;5003X0000264R0gQAE;;;;;;;outro
5003X000026hHX0QAM;;5003X000026hHX0QAM;;;;;;;outro
5003X000026hI4XQAU;;5003X000026hI4XQAU;;;;;;;outro
5003X000026hIRCQA2;;5003X000026hIRCQA2;;;;;;;outro
5003X000026hNknQAE;;5003X000026hNknQAE;;;;;;;outro
5003X000026hZkrQAE;;5003X000026hZkrQAE;;;;;;;outro
5003X000026haLtQAI;;5003X000026haLtQAI;;;;;;;outro
5003X000026jMV1QAM;;5003X000026jMV1QAM;;;;;;;outro
5003X000026jj6rQAA;;5003X000026jj6rQAA;;;;;;;outro
5003X000026jtceQAA;;5003X000026jtceQAA;;;;;;;outro
5003X000026jtrLQAQ;;5003X000026jtrLQAQ;;;;;;;outro
5003X000026julhQAA;;5003X000026julhQAA;;;;;;;outro
5003X000026jvL0QAI;;5003X000026jvL0QAI;;;;;;;outro
5003X000026jvUWQAY;;5003X000026jvUWQAY;;;;;;;outro
5003X000026jvaBQAQ;;5003X000026jvaBQAQ;;;;;;;outro
5003X000026jvbYQAQ;;5003X000026jvbYQAQ;;;;;;;outro
5003X000026jvqrQAA;;5003X000026jvqrQAA;;;;;;;outro
5003X000026jvtvQAA;;5003X000026jvtvQAA;;;;;;;outro
5003X000026jvvhQAA;;5003X000026jvvhQAA;;;;;;;outro
5003X000026jvx8QAA;;5003X000026jvx8QAA;;;;;;;outro
5003X000026jvxDQAQ;;5003X000026jvxDQAQ;;;;;;;outro
5003X000026jvxIQAQ;;5003X000026jvxIQAQ;;;;;;;outro
5003X000026jvxNQAQ;;5003X000026jvxNQAQ;;;;;;;outro
5003X000026jvxXQAQ;;5003X000026jvxXQAQ;;;;;;;outro
5003X000026jvy6QAA;;5003X000026jvy6QAA;;;;;;;outro
5003X000026jvyGQAQ;;5003X000026jvyGQAQ;;;;;;;outro
5003X000026jvykQAA;;5003X000026jvykQAA;;;;;;;outro
5003X000026jw8pQAA;;5003X000026jw8pQAA;;;;;;;outro
5003X000026k9PLQAY;;5003X000026k9PLQAY;;;;;;;outro
